2025-01-10T14:13:27.835Z | direct | GET /_app/immutable/assets/6.CWjMUvKc.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:27.835Z | direct | GET /_app/immutable/nodes/6.3w_d9hhc.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:27.945Z | direct | GET /_app/immutable/nodes/2.W0d2d39z.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:28.475Z | direct | GET /_app/immutable/assets/7.aqZ3pWDw.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:28.475Z | direct | GET /_app/immutable/nodes/7.IzY_YlKl.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:28.584Z | direct | GET /_app/immutable/chunks/_commonjsHelpers.5-cIlDoe.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:28.585Z | direct | GET /_app/immutable/chunks/phaser.8mmy1haT.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:29.054Z | direct | GET /_app/immutable/chunks/Preloader.fSwGCkQc.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:29.106Z | direct | GET /_app/immutable/chunks/MainMenu.emGXpqyp.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:29.154Z | direct | GET /_app/immutable/chunks/Game.NI00G05M.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:29.205Z | direct | GET /_app/immutable/chunks/GameOver.O6UXN2kn.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:31.985Z | direct | GET /arcade_assets/jaeyong_jump/assets/character.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:31.985Z | direct | GET /arcade_assets/jaeyong_jump/assets/refri.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:31.986Z | direct | GET /arcade_assets/jaeyong_jump/assets/laundry.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:31.991Z | direct | GET /arcade_assets/jaeyong_jump/assets/rocket.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:31.991Z | direct | GET /arcade_assets/jaeyong_jump/assets/Clouds.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
